S.No.,User,Rating,Review_summary,Customer_info,Date,Upvote,Downvote,Review_detail
993,AHMAD RAJA,5,Brilliant,"Certified Buyer, Muzaffarpur",AHMAD RAJA,1,0,Superb ❤️
994,Mohit Shukla,5,Wonderful,"Certified Buyer, Thiruvananthapuram",Mohit Shukla,0,0,"We can say tha it is value for money product , great camera quality,  eye catching design."
995,Flipkart Customer,5,Fabulous!,"Certified Buyer, Nashik",Flipkart Customer,1,0,"Battery heats sometimes , and for those who are saying brightness is low there are two settings for brightness turn that on in accessibility go to display and text size and click the reduce  white point for bright display"
996,seden bhutia seden bhutia,3,Good,"Certified Buyer, Dharamshala",seden bhutia seden bhutia,1,0,Good phone
997,Ashi,5,Just wow!,"Certified Buyer, North West Delhi",Ashi,1,0,Wonderful
998,KHUSHBOO Bhatia,5,Brilliant,"Certified Buyer, New Delhi",KHUSHBOO Bhatia,1,0,Perfect
999,DEBASIS SAMAL,5,Wonderful,"Certified Buyer, Berhampur",DEBASIS SAMAL,1,0,Just shifted to iPhone from Android. Its Good.Good Battery Back Up. For normal use it's good.
1000,AVINASH singh,5,Excellent,"Certified Buyer, Neyveli",AVINASH singh,1,0,i have given gift to my wife on birthday 😍 updated from iphone 7 to iphone 14 .
1001,Feroz  Pasha,1,Waste of money!,"Certified Buyer, Ramagundam",Feroz  Pasha,0,0,Feeling bad shifting to ios pathetic experience my Samsung f12 far bbetter
1002,Flipkart Customer,4,Really Nice,"Certified Buyer, Nandivaram Guduvancheri",Flipkart Customer,1,0,Overall good delivery and quality
1003,Mahesh nagre,3,Nice,"Certified Buyer, Kalyan",Mahesh nagre,1,0,Nice phone with great performance and battery
1004,Ninja Kaushal,5,Simply awesome,"Certified Buyer, Bilaspur",Ninja Kaushal,0,0,Loved one🤌💕😍
1005,Rohit Sharma,5,Great product,"Certified Buyer, Greater Noida",Rohit Sharma,0,0,Good camera
1006,vishal maurya,5,Best in the market!,"Certified Buyer, New Delhi",vishal maurya,1,0,Excellent phone and outstanding camera
1007,Salman Khan,5,Perfect product!,"Certified Buyer, Siwan",Salman Khan,0,0,Fabulous
1008,Hemant  Singh,4,Value-for-money,"Certified Buyer, Kanpur",Hemant  Singh,1,0,Front Camera 3 to 4 star
1009,Sonu Nirala,5,Excellent,"Certified Buyer, Rajgir",Sonu Nirala,0,0,Exited
1010,KAILASH KUMAR,5,Highly recommended,"Certified Buyer, North West Delhi",KAILASH KUMAR,0,0,Amazing phone iphone 14 😍😍
1011,Adhyan Agarwal,5,Great product,"Certified Buyer, Kolkata",Adhyan Agarwal,0,0,BEST PHONE 📱
1012,Abhinav Singh,5,Fabulous!,"Certified Buyer, Ayodhya",Abhinav Singh,1,0,Amazing !!! don't think twice just go for it 🍎💙
1013,Amit Bansal,5,Terrific purchase,"Certified Buyer, Hisar",Amit Bansal,1,0,Nice...
1014,Vinod Murthy,4,Good quality product,"Certified Buyer, Bengaluru",Vinod Murthy,1,0,This is my first IPhone. Good to use and handy. Great performance too. Camera quality is very good and smooth.
1015,Rajesh Raji,5,Terrific purchase,"Certified Buyer, Chennai",Rajesh Raji,0,0,Soooperb camera and brilliant performance 😘😘😘😘😘😘
1016,Sintu Gorain,5,Best in the market!,"Certified Buyer, Chirkunda",Sintu Gorain,1,0,Good but small screen
1017,K.Rahul Rao,5,Great product,"Certified Buyer, Puri",K.Rahul Rao,1,0,"Camera: Rear Camera is Too GoodFront Camera : Average Performance : BeastSecurity : BestSoftware : BestiPhone 14 is a complete package, go for it without any hesitation. This phone changed me from Android Fanboy to iPhone fanboy."
1018,Rajesh,5,Classy product,"Certified Buyer, Gwalior",Rajesh,1,0,Very good and awesome Delivery is very Bad
1019,Rahul  vaishnav,3,Nice,"Certified Buyer, Dehradun",Rahul  vaishnav,1,0,I think this time apple surely has compromised with the display quality of the base variant.
1020,Flipkart Customer,5,Great product,"Certified Buyer, Bhubaneswar",Flipkart Customer,0,0,Just go for it don't even think of any another brand
1021,Gautie,5,Super!,"Certified Buyer, Tirupati",Gautie,1,0,Fantastic product from apple. Was worried about delivery. Flipkart has ensured safe and tension free delivery
1022,Ashutosh Kumar Nirala,5,Super!,"Certified Buyer, Saharsa",Ashutosh Kumar Nirala,1,0,OSM
1023,Parmanand  Garg,5,Great product,"Certified Buyer, Sunam",Parmanand  Garg,1,0,Good
1024,Satish P,4,Good choice,"Certified Buyer, Visakhapatnam",Satish P,1,0,Very good
1025,Shashank Kaundal,5,Worth every penny,"Certified Buyer, Pathankot",Shashank Kaundal,1,0,The battery life is best on iPhone
1026,Flipkart Customer,1,Waste of money!,"Certified Buyer, Guwahati",Flipkart Customer,1,0,Heating problem exists
1027,Flipkart Customer,5,Must buy!,"Certified Buyer, Supaul",Flipkart Customer,1,0,Very nice
1028,R sonu Customer,5,Great product,"Certified Buyer, Ranchi",R sonu Customer,1,0,Good and amazing product and camera are sexy
1029,puja giri,5,Worth every penny,"Certified Buyer, Gurugram",puja giri,1,0,Awesome bought it on flash sale days Awesome camera Awesome battery back up
1030,Ram Das,5,Great product,"Certified Buyer, New Delhi",Ram Das,1,0,Good
1031,Mayank  Jain,5,Super!,"Certified Buyer, New Delhi",Mayank  Jain,1,0,Best phone I have ever experienced.
1032,Gajanan  Punde,5,Just wow!,"Certified Buyer, Jalgaon Jamod",Gajanan  Punde,1,0,This my first I phone and I'm so happy
1033,Abhishek Kumar,4,Delightful,"Certified Buyer, Ghaziabad",Abhishek Kumar,1,0,good but price is high
1034,karan  yadav,5,Great product,"Certified Buyer, New Delhi",karan  yadav,1,0,I obsessed with my i phone 14
1035,Pragyesh  Rawat,5,Excellent,"Certified Buyer, Jhabua",Pragyesh  Rawat,1,0,"From Android to ios , Very good Experience , Videos and Photos Quality are Far Better than mobile I have used in the past"
1036,Nirav  Prajapati,4,Value-for-money,"Certified Buyer, Anand District",Nirav  Prajapati,1,0,Good phone Nice in one
1037,Sahana  Avinash ,5,Wonderful,"Certified Buyer, Bengaluru",Sahana  Avinash ,0,0,I love the phone i purchased it to gift my husband the camera battery everything is fine thanks a lot for the fast delivery
1038,Sorav Rajput,5,Brilliant,"Certified Buyer, Vidisha",Sorav Rajput,1,0,Thanks
1039,Cs shekhwat,5,Fabulous!,"Certified Buyer, Uttar Satali",Cs shekhwat,1,0,My dream phone
1040,Pritesh Dhakate,5,Classy product,"Certified Buyer, Mumbai",Pritesh Dhakate,1,0,Awesome product
1041,Flipkart Customer,5,Fabulous!,"Certified Buyer, Ahmedabad",Flipkart Customer,1,0,Excellent 👌
1042,Tejas  Dayatar,5,Wonderful,"Certified Buyer, Ahmedabad",Tejas  Dayatar,1,0,"amazing picture quality , love you Apple ."
1043,Debabrata Sarkar,5,Worth every penny,"Certified Buyer, Kolkata",Debabrata Sarkar,0,0,Nice product  i am so happy😊😊😊
1044,Flipkart Customer,4,Nice product,"Certified Buyer, Bengaluru",Flipkart Customer,0,0,Nice
1045,shubham Kumar,5,Super!,"Certified Buyer, Nalanda District",shubham Kumar,0,0,Wow
1046,Rishi  Hurkat,5,Fabulous!,"Certified Buyer, Bina",Rishi  Hurkat,0,0,Superb product love it ❤️
1047,Flipkart Customer,5,Fabulous!,"Certified Buyer, Ghaziabad",Flipkart Customer,1,0,iPhone 14 amazing phone and flip kart delivery excellent service provide
1048,Saurabh sharma ,5,Super!,"Certified Buyer, Rishikesh",Saurabh sharma ,1,0,Great phone with great features..
1049,mansoor ali shaikh,5,Super!,"Certified Buyer, Mumbai",mansoor ali shaikh,1,0,All is good
1050,Rocky R,5,Terrific purchase,"Certified Buyer, Bengaluru",Rocky R,1,0,Very good product
1051,Sandeep kumar verma,5,Wonderful,"Certified Buyer, New Delhi",Sandeep kumar verma,1,0,Apple always doing best
1052,Anubhav Gautam,5,Simply awesome,"Certified Buyer, Shahdara",Anubhav Gautam,1,0,"Best In Segment and blue colour looking super, camera best ever and best phone ever"
1053,jameen jabri,5,Terrific purchase,"Certified Buyer, Kannur District",jameen jabri,1,0,Excellent product  loved it recommended
1054,Monu  Kapoor,5,Mind-blowing purchase,"Certified Buyer, Rudrapur",Monu  Kapoor,1,0,Very nice phone iPhone 14 Great !!!!!!
1055,Mahesh sakole,5,Excellent,"Certified Buyer, Kinwat",Mahesh sakole,1,0,Just awesome
1056,Flipkart Customer,5,Fabulous!,"Certified Buyer, Salar",Flipkart Customer,1,0,Beautiful great value for money
1057,Abhinaw Kumar,5,Worth every penny,"Certified Buyer, Pathankot District",Abhinaw Kumar,1,0,Fine
1058,sagar dimble,4,Nice product,"Certified Buyer, Pune",sagar dimble,402,1447,camera is not as expected at evening as pictures are so dull and not bright.so much dissipointed when compare camera even with s21fe or one plus nord or other premium phones.at bright sunlight or in a bright light at night pictures are so good in portrait mode.selfies in low light are terrible. looks like camera under 10k phone.battery is good and last for day easily.performance is so good.display may be if 90hz it will be good at this price range.
1059,Venkat Dasari,5,Terrific purchase,"Certified Buyer, Kurnool District",Venkat Dasari,4,7,Every is forfect disine battary camera every thing ilovit im giving 5 star rating abow im yousing iPhone 3GS to 14 im using present iPhone 11 Pro Max thats taking yellow colour mobile disine also every thing 5star
1060,Bharat  Adate,5,Brilliant,"Certified Buyer, Waluj Midc",Bharat  Adate,7,12,good design good cameragood battery backup best mobile
1061,puni ram,5,Classy product,"Certified Buyer, Singrauli",puni ram,4,5,Nice
1062,Sanjay Gupta,5,Worth every penny,"Certified Buyer, Mumbai",Sanjay Gupta,3,3,Product is awesome but battery drain problems
1063,Abhinav Gupta,4,Wonderful,"Certified Buyer, Kanpur",Abhinav Gupta,3,3,"Good performance, screen quality but camera quality is okay but I would expect better than this in case of night mode."
1064,Vasanth,1,Worthless,"Certified Buyer, Karur",Vasanth,3,3,Not worth as hype by people giving comments.Not easy for day to day activities.Old-age caller id.Avg camera performance
1065,Ashutosh kumar Singh,5,Awesome,"Certified Buyer, Visakhapatnam",Ashutosh kumar Singh,3,3,"What a phone, first time i purchased the I phone over Android, and fully satisfied on every acepects. Camera undoubtedly ossaam. RAM and storage also nice. No lagging , smooth performance. Build quality too good. UI extraordinary. Overall value for money product."
1066,Paramjeet singh,5,Terrific,"Certified Buyer, Lucknow",Paramjeet singh,3,4,Excellent smart phone under best price😎
1067,Parvej  Ali,5,Must buy!,"Certified Buyer, Gwalior",Parvej  Ali,3,4,Excellent Feacture And Camera And Mobile
1068,Mahesh S,1,Don't waste your money,"Certified Buyer, Adoor",Mahesh S,2,2,"worst packing....why are you taking package fees for this products ?? not bubble wrapped, not even give any extra protection in the box 🙏🙏  worst customer service also so am giving only 1 star because of this 👍"
1069,Rohini chatki,1,Unsatisfactory,"Certified Buyer, Nagpur",Rohini chatki,1,2,Phone is too much heating just in 10min while charging
1070,Dr Neha Bishnoi,5,Fabulous!,"Certified Buyer, Lucknow",Dr Neha Bishnoi,2,2,I mean it's alright. Overatted af in my opinion.
1071,Iglutech  Electronics,1,Waste of money!,"Certified Buyer, Mahesana",Iglutech  Electronics,2,2,Call network voice call not performing
1072,Zoheb  Quamar,5,Super!,"Certified Buyer, New Delhi",Zoheb  Quamar,2,2,Superb 😎
1073,Selva Kumar,1,Waste of money!,"Certified Buyer, Chennai",Selva Kumar,2,2,Charger not available in box waste for money camera using time over heating issue
1074,Shubham  Sharma,1,Did not meet expectations,"Certified Buyer, Mangrol",Shubham  Sharma,1,2,Slow process
1075,Sankar Dasgupta,1,Unsatisfactory,"Certified Buyer, Memari",Sankar Dasgupta,1,2,BATTERY BACKUP NOT BATTER.
1076,Sunny Málík,5,Classy product,"Certified Buyer, Rohtak",Sunny Málík,2,2,Best phone
1077,Babita Verma,5,Perfect product!,"Certified Buyer, Kangra District",Babita Verma,1,1,My first experience with apple phone is great…This phone is awesome and I love light purple colour…i m so happy thank u Flipkart 🥰
1078,Ankit Sharma,5,Excellent,"Certified Buyer, Bengaluru",Ankit Sharma,2,2,"First time iphone user, liking it very much. Battery is good and fast charging is an additional advantage."
1079,Flipkart Customer,5,Worth every penny,"Certified Buyer, Bhopal",Flipkart Customer,1,2,"Best Deal with Flipkart, best Phone"
1080,Sanaullah Khan,5,Simply awesome,"Certified Buyer, Bachhraon",Sanaullah Khan,2,2,Great product much faster than iPhone 13
1081,Amanpreet Singh,3,Does the job,"Certified Buyer, Tarantaran",Amanpreet Singh,2,2,Overall good performance
1082,Mayank Rikhari,3,Nice,"Certified Buyer, Noida",Mayank Rikhari,4,8,Awesome
1083,Sandeep Bhardwaj,1,Hated it!,"Certified Buyer, New Delhi",Sandeep Bhardwaj,12,39,Bad
1084,Flipkart Customer,5,Worth every penny,"Certified Buyer, New Delhi",Flipkart Customer,3,5,"Loved it, my first iphone btw box quality wasnt good"
1085,Manjarul Hoque,1,Useless product,"Certified Buyer, Maldah District",Manjarul Hoque,7,21,"Only performance good.. battery service is very bad, display size or feel  2014 genaration phone, oneplus, nothing phone is best.."
1086,Abishek Bhattacherjee,5,Just wow!,"Certified Buyer, Siliguri",Abishek Bhattacherjee,7,22,Totally worth selling your kidney and buying this amazing phone. Camera makes this phone A+
1087,Flipkart Customer,3,Just okay,"Certified Buyer, Puthencruz",Flipkart Customer,2,3,"Mediocre Performance for the Prices I recently purchased this phone for 50K, and I must admit, I'm not entirely thrilled with it. Here's a breakdown of my experience:Camera (3/5): The camera performance falls flat, earning a modest 3 out of 5. While it's not terrible, it doesn't quite meet the expectations I had for a device in this price range.Performance: This is where I encountered some major issues. The phone has a tendency to hang, and there are times when it takes multiple attempt..."
1088,Akshay Raghav,1,Useless product,"Certified Buyer, Gurugram",Akshay Raghav,1,3,"Freezes a lot, camera and display are not average which is not expected from an iphone"
1089,Akshit Kanaujia Akshit Kanaujia,5,Terrific purchase,"Certified Buyer, Kanpur",Akshit Kanaujia Akshit Kanaujia,2,3,Just awesome.
1090,Arshpreet Singh,1,Very poor,"Certified Buyer, Ghaziabad",Arshpreet Singh,2,2,"I am facing too many glitches in this phone, Screen is freezing whenever I am trying to unlock my phone."
1091,vijay  sangtani,5,Terrific purchase,"Certified Buyer, Jodhpur",vijay  sangtani,4,16,thankssss filpkart 😘😘😘😘
1092,Prabhat Kumar,3,Does the job,"Certified Buyer, Sitamarhi District",Prabhat Kumar,3,8,Its picture quality low
1093,Agrim Kalas,5,Fabulous!,"Certified Buyer, Jammu",Agrim Kalas,1,3,jeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeez okay
1094,Suresh Reddy,1,Worthless,"Certified Buyer, Bengaluru",Suresh Reddy,2,4,Price should be little bit less poor people can't afford this..
1095,Soumya Kar,3,Good,"Certified Buyer, Baleshwar",Soumya Kar,2,4,Automatic call recorder not there like Samsung. The biggest draw back. Camera quality not as expected.
1096,pritam dey,2,Expected a better product,"Certified Buyer, Chennai",pritam dey,1,1,Battery quality is not good it's too much consume bettery helth + bettery backup
1097,Swapnil Bale,5,Must buy!,"Certified Buyer, Davorlim",Swapnil Bale,1,1,"Superb, camera quality of iphone 13 is better than iPhone 14"
1098,Amresh Kumar,4,Worth the money,"Certified Buyer, Chandauli",Amresh Kumar,1,1,Very good 👍
1099,Kartick Midyadas,2,Expected a better product,"Certified Buyer, Bardhaman",Kartick Midyadas,1,1,Getting hot first..and battery draining.while very few apps in back ground..disappointing performance by I phone 14
1100,shivangi rai,5,Just wow!Not a brick but a phone,"Certified Buyer, Varanasi",shivangi rai,1,1,I was so worried getting a phone from Flipkart (heard all the news of epople getting bricks instead) but I am happy I got my actual phone phew :)
1101,Akshay Salunkhe ,5,Classy product,"Certified Buyer, Pimpri Chinchwad",Akshay Salunkhe ,1,1,One of the best choice to select iphone 14 with 256gb memory.
1102,Deep  Das,5,Just wow!,"Certified Buyer, Nadia District",Deep  Das,1,1,Battery backup of this device is unbeatable in one charge this device can last upto 1/5 days The camera quality is fabulous performance is top notch overall loved this device and also flipkarts delivery is very good ❤️❤️❤️❤️❤️
1103,Ishant Bisht,2,Bad quality,"Certified Buyer, Dehradun",Ishant Bisht,1,1,Massive battery drain problem
1104,Flipkart Customer,1,Utterly Disappointed,"Certified Buyer, Kanpur",Flipkart Customer,1,1,There is a minimal gap between screen and upper frame
1105,Triloson Swargiary,2,Slightly disappointed,"Certified Buyer, Kamrup District",Triloson Swargiary,1,1,How is the camera rating so high in this review?? I found the camera quality absolute garbage.
1106,Flipkart Customer,1,Waste of money!,"Certified Buyer, Chelamattom",Flipkart Customer,1,1,After using two months display become greenish on top left corner
1107,Chintu  Gogoi,4,Delightful,"Certified Buyer, Dibrugarh",Chintu  Gogoi,1,1,Finally Switched Android to iOS 🥰.. 😻 some feature are  amazing..some bugs are there ..
1108,Tinku,1,Worthless,"Certified Buyer, Hyderabad",Tinku,1,0,"Same like older iPhones, no wow factor"
1109,Krish Kumar,5,Worth every penny,"Certified Buyer, Kaimur Bhabua District",Krish Kumar,1,1,This phone is very fast
1110,Rahul Dey ,4,Good quality product,"Certified Buyer, Tinsukia",Rahul Dey ,1,1,iPhone is always best only
1111,Ritika Das,1,Did not meet expectations,"Certified Buyer, Modinagar",Ritika Das,1,1,Not good at all!
1112,ZARINA PALIWALA,5,Fabulous!,"Certified Buyer, Ahmedabad",ZARINA PALIWALA,1,1,ITEM IS GOOD FLIPKART SERVICE IS ALSO VERY FAST OR GOOD I LIKES
1113,Jasim  Uddin,4,Really Nice,"Certified Buyer, English Bazar",Jasim  Uddin,1,1,Camera not satisfied. It's okay. Performance great.
1114,Chandan Dalai,5,Just wow!,"Certified Buyer, Bengaluru",Chandan Dalai,1,1,Good product
1115,Flipkart Customer,5,Worth every penny,"Certified Buyer, Bengaluru",Flipkart Customer,1,1,Best phone e
1116,Flipkart Customer,5,Brilliant,"Certified Buyer, Patiala",Flipkart Customer,1,1,Good
1117,Flipkart Customer,5,Mind-blowing purchase,"Certified Buyer, Patiala",Flipkart Customer,1,1,Good
1118,Manoj Kumar,4,Worth the money,"Certified Buyer, Faridabad",Manoj Kumar,1,1,"iPhone 14 is similar to iPhone 13, I didn't see much difference"
1119,THATIKONDA VENKATARJUN,5,Best in the market!,"Certified Buyer, Hospet",THATIKONDA VENKATARJUN,0,1,Super Quality Best Picture Experiance
1120,ShanmuGam  S,4,Very Good,"Certified Buyer, Chennai",ShanmuGam  S,1,1,Android is best for worksiPhone is best for officers and vips
1121,Haider abbas Syed ,1,Not recommended at all,"Certified Buyer, Mumbai",Haider abbas Syed ,1,1,Battery very bad not Heath is 3 manth 20% dawn not buy
1122,Aditya Varshney,5,Terrific purchase,"Certified Buyer, Noida",Aditya Varshney,1,1,Latest and greatest from Apple.
1123,sridhar v.v.s,5,Brilliant,"Certified Buyer, Kakinada",sridhar v.v.s,1,1,Good
1124,Sudhir Pradhan,5,Great product,"Certified Buyer, Bengaluru",Sudhir Pradhan,1,1,Overall good experience till now!!
1125,Ravi Goudar,5,Terrific,"Certified Buyer, Belagavi",Ravi Goudar,1,1,Good camera 👍
1126,Abdulla Khan,5,Mind-blowing purchase,"Certified Buyer, Rae Bareli",Abdulla Khan,1,1,Best phone in this price range i upgrade from 13 to 14
1127,Aniket Bhakare,4,Delightful,"Certified Buyer, Pune",Aniket Bhakare,0,0,"All things are great, not much difference between 13 but just go for 14 because it has updated GPU and u get 1year extra update 😀"
1128,mohit raj,5,Highly recommended,"Certified Buyer, Dehradun District",mohit raj,1,1,Awesome phone
1129,KESHAV AGRAWAL,5,Classy product,"Certified Buyer, Jaspur",KESHAV AGRAWAL,1,0,best phone in this segment love for apple india
1130,Atul Kumar,4,Very Good,"Certified Buyer, Gurgaon",Atul Kumar,1,0,Iphone 14 excellent performance
1131,Flipkart Customer,2,Slightly disappointed,"Certified Buyer, Faridabad",Flipkart Customer,1,1,simply nothing changed as compared to older versions
1132,Flipkart Customer,3,Nice,"Certified Buyer, Idar",Flipkart Customer,0,1,Heating problems in my I phone
1133,Flipkart Customer,5,Nice product,"Certified Buyer, Lucknow District",Flipkart Customer,0,1,Very nice product 👌👌👌
1134,Anirudh Kashyap,5,Awesome,"Certified Buyer, Doom Dooma",Anirudh Kashyap,1,1,What else can I say when everyone knows Apple is among the best in the Phone Market.
1135,Saurabh Patil,5,Fabulous!,"Certified Buyer, Mumbai",Saurabh Patil,1,1,So far so good
1136,harpal Chandeshrav,5,Excellent,"Certified Buyer, Jamnagar District",harpal Chandeshrav,1,1,Great colour nuce performance
1137,Rajan Subba,5,Classy product,"Certified Buyer, Bengaluru",Rajan Subba,1,1,"just amazing, Apple, what more do you expect, optimisation, speed, reliability, privacy all top notch. The only complaint would be the refresh rate, earlier i was using a 120hz screen and it is clearly visible when you move to iphone 14 but m sure it'll become a habit once you keep using it, so won't be a prob there."
1138,Shubham Jain,4,Fabulous!,"Certified Buyer, New Delhi",Shubham Jain,1,1,Such a excellent device Superb….👍🏻👍🏻👍🏻👌
1139,jagadeesh v,5,Excellent,"Certified Buyer, Bangalore",jagadeesh v,0,1,Nothing will beat IPhone
1140,Alok Singh,5,Awesome,"Certified Buyer, Bangalore Urban",Alok Singh,1,1,Thanks Flipkart
1141,Gavin Lewis,5,Brilliant,"Certified Buyer, Palghar District",Gavin Lewis,0,0,My first experience using an IPhone and it is truly special. Smooth old school feel and gets almost everything done that you throw at it. Brilliant camera. IPhone 14 is truly special and is worth every penny paid.
1142,Balwant Lodha,5,Best in the market!,"Certified Buyer, Guna",Balwant Lodha,1,1,iPhone camera quality very wonderful
1143,Digvijay More,5,Best in the market!,"Certified Buyer, Pune",Digvijay More,1,1,Apple is awesome Improved battery life in 14.Satisfied purchase
1144,REJI THOMAS,3,Just okay,"Certified Buyer, Udupi",REJI THOMAS,1,1,Battery life is disastrously low
1145,Flipkart Customer,4,Delightful,"Certified Buyer, Fatehabad District",Flipkart Customer,1,0,Fabulous mobile phone. Fall in ❤😘 with apple. First apple product to use.
1146,Rahul Frank,5,Simply awesome,"Certified Buyer, Ahmedabad",Rahul Frank,1,1,Amazing!!!
1147,Vivek Kumar Singh,5,Perfect product!,"Certified Buyer, Uska Bazar",Vivek Kumar Singh,1,1,Nice...
1148,Rakesh Das,5,Terrific purchase,"Certified Buyer, Bhubaneswar",Rakesh Das,2,5,Super ❤️
1149,Aaditya Kumar,1,Did not meet expectations,"Certified Buyer, Noida",Aaditya Kumar,1,2,The camera quality is not better than S21 FE even which costs around 28 k ... Better to go with Samsung S series
1150,Dr Manjunath Giriyappa,5,Terrific purchase,"Certified Buyer, Bengaluru",Dr Manjunath Giriyappa,1,2,It's just like iPhone 13. No significant jump. But I upgraded from 11 so feels better than that. But iPhone continues it's adamant stance of not providing a file manager and app drawer. It's not flexible like Android. Only reason u should buy an iPhone is security. It's miles ahead of Android on terms of data privacy and security
1151,Ganesh N,2,Bad quality,"Certified Buyer, Delhi",Ganesh N,1,2,"Seems to be suspicious / spurious product. Booked it on 02.11.2023 this and got it delivered on 04.11.2023 (One day earlier). Till now I've not put sim in it, since I bought this for gifting purpose. After charging it 100 % the battery gets drained out in no time even when the phone is idle, i.e. I charged it 100 % at night 09.00 pm apx. and 02.00 pm next day when I checked the battery status it says 86 %, which is very surprising for a new phone from Apple and that too without any usage. Now..."
1152,Pooja,5,Super!,"Certified Buyer, Gurugram",Pooja,0,2,"Android is far far better than iPhones. It doesn't have fingerprint when you want to open your mobile during night. It doesn't even scan your face and finding very difficult to type the pin every time irritates a lot. The only best thing about this mobile is camera and all the other thing feels very complicated. and regarding the space it feels faster and it's only been 15 days since I bought it and half of the space has already been filled. if you really are buyer of iPhones, please go for m..."
1153,Flipkart Customer,5,Excellent,"Certified Buyer, Banur",Flipkart Customer,1,2,"Hi, Just never think of anything else if you are considering iPhone 14:- Amazing in-hand feel- Great battery life- Powerful stereo speakers- Charming display- Well clocked and balanced A15 powerful chipset- 6 GB Apple RAM- 5-Core GPU -Powerful Neural Engine for great gaming and photographic experience- Seamless face unlock featureWhy consider any other phone when so much is being given at this price, do not listen to any rumours, best experience with Apple products always, the u..."
1154,Aravind Kumar R,1,Terrible product,"Certified Buyer, Chennai",Aravind Kumar R,1,1,Very Worst
1155,Amit Aryan,1,Horrible,"Certified Buyer, Dhanbad",Amit Aryan,1,2,Very bad don't buy online product phone has heating problem nd screen problem
1156,Manoj Patil,1,Useless product,"Certified Buyer, Pune",Manoj Patil,1,2,1st Mobile box damage2nd Mobile setup issue3rd mobile setup and next upgrade OS Big issue not move next step install os I'm waiting 1 day and night But not move next step 😞Final mobile agen reset and send issueAnd next day switch off and on Mobile automatic setup big issue facing
1157,Pankaj  Sharma,3,Good,"Certified Buyer, Kathua",Pankaj  Sharma,1,2,"I recently upgraded to the iPhone 14, and I must say I'm impressed with the improvements. The camera quality is outstanding, allowing me to capture memories in stunning detail. The battery life has been a noticeable upgrade, keeping me powered throughout the day. The new A15 chip ensures smooth performance, even with demanding apps and games. The 60Hz ProMotion display provides a smoother and more immersive experience. Overall, the iPhone 14 has lived up to my expectations, offering a seamles..."
1158,Sunilkumar Patil,5,Best in the market!,"Certified Buyer, Hubballi",Sunilkumar Patil,1,2,I love this iPhone. It is very good but you can take iPhone 13 Because it is also having same features only the feature you will get in iPhone 14 is crash detection and action mode in the camera
1159,Sarthak Goyal,3,Nice,"Certified Buyer, New Delhi",Sarthak Goyal,1,2,Camera quality is not that satisfying bt overall performance is very good
1160,Dhanunjaya Mallemputi ,1,Horrible,"Certified Buyer, Bangalore",Dhanunjaya Mallemputi ,1,2,Battery is dying very fast
1161,Inthiyaz Vempalli ,3,Good,"Certified Buyer, Rayachoti",Inthiyaz Vempalli ,1,2,"I can say iPhone is over priced camera quality, display and performance is average battery backup is ok for only  brand only we can use iPhone i wanted sale this this iPhone.😁"
1162,Flipkart Customer,1,Hated it!,"Certified Buyer, New Delhi",Flipkart Customer,1,2,"I hate it's camera, the quality of camera is very bad and it's battery become low in an hour"
1163,Flipkart Customer,4,Wonderful,"Certified Buyer, Lucknow",Flipkart Customer,1,2,"Reviewing after using for 5 months. The product is nice, one of the good in the premium segment. The camera is good as well. The touch doesn't lags. It usually doesn't reads the face ID and thus, had to type the password"
1164,Subhasis Das,5,Perfect product!,"Certified Buyer, Kolkata",Subhasis Das,1,1,Great 👍
1165,Hemanth Kumar,5,Just wow!,"Certified Buyer, Bhilai",Hemanth Kumar,0,1,Overall Nyc
1166,Monika Singour ,1,Unsatisfactory,"Certified Buyer, Mandla",Monika Singour ,1,2,Battery is extremely poot. Gets drained within 12 hours.
1167,Shiva Netha,4,Value-for-money,"Certified Buyer, Hyderabad",Shiva Netha,1,2,I got the sky blu colour which is amazing at its look but the size is smaller if you have big hand it will be easily operated by one hand overall the performance is🏍️🏍️
1168,Naveen Yadav,3,Decent product,"Certified Buyer, South District",Naveen Yadav,0,1,"Pros; Camera, performance, sound, security.Cons; Battery backup, small display, only 5x zoom camera."
1169,Manoj Kolukuluri,4,Good quality product,"Certified Buyer, Hyderabad",Manoj Kolukuluri,0,2,Except battery backup everything was simply fine just Apple things  hope will upgrade better battery 🔋 soon for further models
1170,amrita keshwani,5,Fabulous!,"Certified Buyer, Agra",amrita keshwani,1,2,it is an amazing product
1171,Suraj Jaisingh,5,Looks like the iPhone XR,"Certified Buyer, Mumbai",Suraj Jaisingh,1,2,"The only visible difference between an iPhone XR and the iPhone 14 is the back camera, the side edges and the battery life. Otherwise, it's pretty much the same phone with probably a few hardware upgrades. I can't tell the difference to be honest. Overall great phone"
1172,Flipkart Customer,3,Nice,"Certified Buyer, Kollam District",Flipkart Customer,0,1,Over all supeb. But very small size mobile 😞
1173,Washim Akram,5,Super!,"Certified Buyer, Dhing",Washim Akram,1,2,Nice product. Delivery late
1174,Flipkart Customer,5,Excellent,"Certified Buyer, Jaipur",Flipkart Customer,1,1,This is best of everything
1175,SANDEEP Yadav,5,Just wow!,"Certified Buyer, Lucknow",SANDEEP Yadav,1,8,Nice
